name,order,period,rade,tran_depth_ppm,tran_dur_hr,masse,masse_est,semi_au,st_mass,st_rad,st_teff,st_log_lum,Kmag,insol,t_eq,esm,disposition
K2-65 b,233,12.64750,1.58000,391.00000,3.43000,,3.12122,0.10140,0.87000,0.84000,5213.00000,-0.32800,8.34400,45.00000,723.67055,1.57872,Confirmed
K2-221 b,236,2.39909,1.67900,312.00000,2.50320,,3.46047,0.03519,1.01000,0.95000,5716.00000,-0.06400,10.85200,696.90947,1430.05905,1.51141,Confirmed
K2-165 c,237,4.38274,1.55400,317.14706,,,3.03452,0.04926,0.83000,0.80000,5185.00000,-0.37000,9.53600,175.82203,1013.51039,1.64376,Confirmed
Kepler-658 b,238,1.28708,1.63000,729.40000,1.50860,,3.29076,0.01880,0.63000,0.60000,4103.00000,-0.89900,12.62700,223.75000,1209.84840,1.72400,Confirmed
TOI-805.01,239,4.11776,1.27615,1948.14058,1.21268,,2.17192,0.03189,0.25524,0.28113,3366.00000,-2.03904,10.83800,8.98604,481.89446,1.20229,Candidate
K2-133 b,244,3.07133,1.34000,710.00000,1.22000,,2.35963,0.03194,0.46000,0.46000,3655.00000,-1.47900,10.27900,32.53345,664.72563,1.44610,Confirmed
Kepler-98 b,245,1.54168,1.99000,296.50000,1.98740,3.55000,,0.02560,0.99000,1.11000,5539.00000,-0.13300,11.25300,1107.39000,1611.35005,1.51494,Confirmed
Kepler-205 b,247,2.75564,1.51000,546.40000,1.94800,,2.89009,0.03200,0.59000,0.55000,4321.00000,-0.95600,10.83300,102.56000,897.39757,1.49218,Confirmed
K2-157 b,248,0.36526,1.00000,108.53587,,,0.97185,0.00980,0.94000,0.88000,5456.00000,-0.21000,10.98000,6425.35793,2491.92065,1.23274,Confirmed
EPIC 201923289.01,249,0.78202,1.58000,267.00000,1.41600,,3.12122,0.01622,,0.94000,5144.00000,-0.40485,11.87000,,1731.20654,1.25877,Candidate
Kepler-80 f,250,0.98679,1.21000,450.00000,1.18790,,1.92451,0.01750,0.73000,0.68000,4540.00000,-0.77000,12.25300,750.96000,1350.64388,1.36390,Confirmed
K2-130 b,251,2.49412,1.25000,304.00000,1.70400,,2.09691,0.03200,0.70000,0.74000,4356.47000,-0.79900,9.85800,136.40000,982.27907,1.57110,Confirmed
K2-189 b,253,2.58831,1.52000,300.00000,2.22000,,2.92266,0.03610,0.94000,0.87000,5519.00000,-0.23900,10.58900,442.57369,1276.60422,1.39677,Confirmed
Kepler-1228 b,254,0.57737,1.54000,400.40000,1.09630,,2.98825,0.01250,0.78000,0.74000,5063.00000,-0.55500,12.79900,1598.66000,1808.65141,1.34365,Confirmed
EPIC 220554210 c,255,0.70531,1.60000,262.00000,1.70400,,3.18859,0.01519,0.94000,1.00000,5499.00000,-0.21500,12.00200,2641.56727,1995.37854,1.33636,Confirmed
KOI-2480.01,256,0.66683,1.79613,511.60000,0.78470,,3.88024,0.01299,0.65799,0.67010,4213.79004,-0.88887,12.87500,765.16788,1463.85837,1.46934,Candidate
K2-155 b,257,6.34200,1.80000,680.00000,2.40960,,3.89445,0.05620,0.65000,0.58000,4258.00000,-1.22900,9.49600,19.90000,578.68433,1.08152,Confirmed
Kepler-908 b,258,1.34060,1.22000,109.80000,1.60850,,1.98213,0.02470,1.11000,1.12000,5973.00000,0.26400,9.99300,3304.10000,2061.63321,1.34560,Confirmed
K2-5 b,259,5.73594,1.91000,1496.00000,2.65400,,4.30707,0.05320,0.61000,0.57000,3930.00000,-1.08300,11.59500,24.10000,646.92519,1.40220,Confirmed
K2-187 c,260,2.87151,1.40000,390.00000,2.37600,,2.54180,0.03920,0.97000,0.83000,5438.00000,-0.21000,11.19600,401.26185,1245.70970,1.33548,Confirmed
Kepler-20 b,261,3.69610,1.77300,396.70000,2.46300,9.70000,,0.04565,0.93000,0.92000,5495.00000,-0.16500,10.87100,331.00000,1184.64844,1.41756,Confirmed
K2-209 b,263,2.08061,0.86900,125.91037,,,0.58753,0.02885,0.74000,0.71000,4720.00000,-0.58800,8.61300,310.24885,1168.11991,1.48694,Confirmed
EPIC 211731298.01,264,1.99042,1.80000,447.00000,2.07360,,3.89445,0.02517,0.88000,0.82000,5140.31000,-0.38859,11.22800,485.72388,1402.76903,1.99769,Candidate
K2-21 b,265,9.32504,1.84000,809.00000,2.37200,,4.04252,0.07600,0.68000,0.65000,4222.06000,-1.02600,9.41700,10.00000,559.31064,1.20864,Confirmed
EPIC 212303338.01,266,0.59562,0.58300,38.62592,,,0.14051,0.01887,,0.86000,5338.00000,-0.26679,7.91200,1519.64031,1737.78114,1.08473,Candidate
K2-226 b,267,3.27108,1.54000,270.00000,2.40000,,2.98825,0.04130,0.88000,0.91000,5424.00000,-0.27600,10.22300,310.52738,1168.38199,1.28595,Confirmed
EPIC 211383821.01,268,1.56699,1.34000,460.00000,2.11200,,2.35963,0.01395,0.69000,0.60000,4426.20000,-0.88200,11.50600,241.05542,1418.24400,2.21101,Candidate
Kepler-1203 b,269,0.58800,1.06000,297.40000,1.16270,,1.19757,0.01140,0.64000,0.61000,4105.00000,-0.85400,12.05900,723.81000,1594.43733,1.48306,Confirmed
K2-38 b,270,4.01593,1.65500,260.70000,2.74000,7.70000,,0.05030,1.05000,1.14000,5705.00000,0.03700,9.47000,490.00000,1267.72743,1.92921,Confirmed
KOI-2706.01,271,3.09757,1.73313,83.30000,4.58800,,3.65202,0.04697,1.44097,1.86379,6495.25998,0.75275,9.10900,2564.90404,1980.74085,1.31072,Candidate
KOI-1169.01,273,0.68921,1.39615,195.00000,1.61690,,2.52993,0.01544,1.03391,1.01082,5760.82411,0.01009,11.71500,4292.89563,2252.92877,1.28405,Candidate
K2-90 c,274,2.90071,1.30000,389.00000,1.30320,,2.24129,0.03500,0.70000,0.63000,4421.98000,-0.96800,10.36000,80.80000,852.16924,1.13924,Confirmed
K2-133 c,276,4.86784,1.60300,980.00000,1.62000,,3.19875,0.04341,0.46000,0.46000,3655.00000,-1.47900,10.27900,17.61248,570.18395,1.25725,Confirmed
KOI-4419.01,277,0.25982,1.31885,231.50000,0.65130,,2.29675,0.00652,0.54836,0.56932,3888.04850,-1.17363,12.27200,1575.97038,1753.66604,1.30634,Candidate
TOI-1706.02,279,7.40587,1.58084,333.00000,2.53100,,3.12403,0.07421,0.99400,0.96580,5617.00000,-0.07751,9.46800,151.90867,977.13713,1.49855,Candidate
Kepler-1107 b,281,0.57104,1.34000,262.60000,1.04200,,2.35963,0.01260,0.86000,0.82000,5268.00000,-0.41700,12.15200,2387.26000,1950.40412,1.27104,Confirmed
Kepler-523 b,282,5.83598,1.96000,546.80000,2.06010,,4.50024,0.06060,0.93000,0.86000,5515.00000,-0.28000,10.82700,149.13000,962.32898,1.30128,Confirmed
K2-37 b,284,4.44117,1.61000,358.00000,2.70600,,3.22250,0.05110,0.90000,0.85000,5413.00000,-0.46900,10.14200,213.30000,939.93848,1.13429,Confirmed
Kepler-407 b,285,0.66931,1.07000,132.40000,1.60150,,1.23856,0.01490,1.00000,1.01000,5476.00000,-0.03900,10.91100,4102.01000,2229.54758,1.32042,Confirmed
K2-233 c,286,7.06005,1.28100,273.60259,2.79600,,2.18596,0.06666,0.79000,0.71000,5033.00000,-0.52300,8.37500,67.10000,797.76912,1.45695,Confirmed
EPIC 210696763.01,290,3.65017,1.15000,1920.00000,1.27200,,1.60381,0.02279,0.31000,0.25000,3338.00000,-1.92400,11.71500,12.08511,609.13498,1.75831,Candidate
TOI-2142.01,291,9.30044,1.55503,1595.20886,2.35101,,3.03794,0.06101,0.35032,0.36397,3472.00000,-1.76086,8.78700,4.65876,408.90977,1.25785,Candidate
EPIC 249893012 b,293,3.59510,1.95000,109.29886,4.33000,8.75000,,0.04700,1.05000,1.71000,5430.00000,0.35600,9.71400,1037.00000,1575.83575,1.11967,Confirmed
Kepler-1446 b,294,0.68997,0.82000,121.30000,1.21350,,0.47719,0.01410,0.81000,0.75000,4865.00000,-0.65100,10.20400,1213.33000,1611.38873,1.17343,Confirmed
Kepler-1319 b,295,2.88676,1.34000,631.80000,0.88500,,2.35963,0.02960,0.56000,0.54000,3655.00000,-1.45700,10.72600,38.45000,699.30080,1.20555,Confirmed
Kepler-755 b,296,1.26909,1.76000,340.90000,1.57360,,3.74866,0.02140,0.82000,0.77000,5043.00000,-0.45700,11.87900,889.89000,1462.52397,1.24149,Confirmed
EPIC 212425103.01,297,0.94603,1.81000,425.00000,1.63200,,3.93125,0.01521,0.92000,0.83000,5336.00000,-0.32800,12.72000,1396.60955,1868.63477,1.46097,Candidate
K2-208 b,299,4.19095,1.67900,365.00000,2.18400,,3.46047,0.04966,0.93000,0.86000,5582.00000,-0.21400,10.74600,247.76995,1104.26177,1.18253,Confirmed
EPIC 212435047.01,300,1.11556,1.29000,196.90000,2.04000,,2.21210,0.01796,1.04000,0.98000,5806.00000,0.08800,10.90700,2692.99280,2184.99493,1.78322,Candidate
Kepler-1039 b,302,0.93488,1.46000,282.60000,1.41740,,2.72950,0.01840,0.79000,0.74000,4870.00000,-0.64900,11.75300,668.13000,1412.21548,1.07084,Confirmed
K2-223 c,304,4.56255,1.50000,200.00000,2.80000,,2.85767,0.05490,1.06000,1.00000,5859.00000,-0.03500,9.83500,306.09435,1164.18958,1.03265,Confirmed
TOI-214.02,305,9.69611,0.83833,109.27457,2.90958,,0.51654,0.08655,0.92000,0.79827,5346.17000,-0.32884,6.86200,62.60755,782.91850,1.03716,Candidate
Kepler-1124 b,307,2.85235,1.28000,1402.90000,0.70600,,2.18306,0.03050,0.35000,0.34000,3658.00000,-1.32300,12.82600,50.78000,744.14910,1.19905,Confirmed
K2-210 b,309,0.57023,0.86000,78.47937,,,0.56601,0.01304,0.91000,0.89000,5500.00000,-0.24900,9.91500,3314.05177,2111.78500,1.13824,Confirmed
KOI-2250.02,310,0.62628,1.59914,433.10000,1.18120,,3.18568,0.01317,0.77656,0.74784,4801.75196,-0.56901,13.39300,1555.84292,1748.03979,1.11718,Candidate
K2-198 c,312,3.35961,1.42300,180.00000,1.42008,,2.61310,0.04075,0.80000,0.76000,5212.90000,-0.40100,9.22800,239.15305,1094.53300,1.25036,Confirmed
Kepler-1310 b,314,0.67934,1.44000,258.50000,1.17830,,2.66632,0.01480,0.91000,0.88000,5549.00000,-0.19200,12.43600,2830.91000,2048.46723,1.11084,Confirmed
Kepler-1317 b,317,0.56887,1.56000,378.40000,1.21520,,3.05444,0.01280,0.83000,0.79000,5144.00000,-0.41400,13.30900,2413.26000,1938.45129,1.09582,Confirmed
EPIC 212297394 b,318,2.28936,1.48000,535.00000,1.88000,,2.79328,0.03195,0.83000,0.80000,5171.00000,-0.50500,12.18600,306.27769,1164.36386,1.08508,Confirmed
Kepler-1350 c,319,1.76679,1.73000,1009.80000,1.33950,,3.64082,0.02220,0.55000,0.53000,3827.00000,-1.28300,13.12200,94.05000,892.55172,1.10547,Confirmed
Kepler-99 b,320,4.60358,1.48000,449.80000,2.34990,6.15000,,0.05030,0.79000,0.73000,4782.00000,-0.58500,10.75700,108.04000,886.18804,1.09175,Confirmed
Kepler-828 b,321,0.56786,1.51000,334.80000,0.98690,,2.89009,0.01250,0.81000,0.77000,5039.00000,-0.54300,12.99200,1835.16000,1821.18838,1.04502,Confirmed
K2-200 b,322,2.84988,1.36400,273.00000,1.34160,,2.43183,0.03741,0.86000,0.79000,5233.00000,-0.42900,10.37500,266.08392,1124.12481,1.17359,Confirmed
Kepler-48 b,324,4.77800,1.88000,473.00000,2.73610,3.94000,,0.05280,0.88000,0.89000,5194.00000,-0.28900,11.22100,173.12000,1025.63520,1.15431,Confirmed
K2-270 b,325,1.54307,1.38000,286.00000,1.64400,,2.48046,0.02470,0.85000,0.77000,4877.00000,-0.55800,11.36800,453.53008,1284.43284,1.09065,Confirmed
Kepler-842 b,328,1.21957,1.60000,494.90000,1.56720,,3.18859,0.02040,0.78000,0.73000,4848.00000,-0.61200,12.91300,588.95000,1370.07643,1.04801,Confirmed
Kepler-1650 b,329,1.53818,0.96000,841.00000,1.10270,,0.83957,0.01670,0.33000,0.33000,3410.00000,-1.87100,12.19900,54.56000,733.58703,1.01238,Confirmed
K2-268 b,332,2.15168,1.50000,398.00000,1.97000,,2.85767,0.03080,0.84000,0.78000,5106.00000,-0.47100,11.63900,356.36789,1209.30130,1.13335,Confirmed
EPIC 211796070.01,333,1.88993,1.29000,367.00000,1.65600,,2.21210,0.02202,0.70000,0.64000,4491.00000,-0.69100,11.46600,288.66216,1259.95703,1.42786,Candidate
K2-116 b,336,4.65541,0.69000,129.00000,1.89000,,0.25704,0.04800,0.69000,0.67000,4348.35000,-0.74600,7.87500,78.60000,826.87385,1.12765,Confirmed
EPIC 206317286 b,338,1.58252,0.96000,300.00000,1.75200,,0.83957,0.02371,0.71000,0.67000,4864.00000,-0.59300,11.63500,454.09751,1284.83441,1.01553,Confirmed
Kepler-1148 b,340,1.10446,1.69000,493.50000,1.05470,,3.49905,0.01880,0.81000,0.77000,5054.00000,-0.53100,13.20100,815.41000,1495.30902,1.01265,Confirmed
GJ 3473 b,343,1.19800,1.26400,973.27000,0.95000,1.86000,,0.01589,0.36000,0.36000,3347.00000,-1.82400,8.82900,59.40000,772.67690,6.47652,Confirmed
TOI-2345.01,344,1.05262,1.42031,358.50761,1.52884,,2.60471,0.01823,0.73000,0.75857,4621.00000,-0.62636,8.84700,710.96456,1437.21541,5.69083,Candidate
Kepler-1651 b,345,9.87864,1.84000,1472.70000,1.89150,,4.04252,0.06920,0.52000,0.50000,3713.00000,-1.36800,9.80400,5.65000,481.40083,1.28360,Confirmed
TOI-723.01,346,1.41787,1.11227,199.00000,1.37200,,1.42308,0.02293,0.80000,0.75634,4907.96000,-0.52427,8.65500,568.77639,1359.23725,2.90892,Candidate
TOI-406.01,352,13.17573,1.96024,2479.34771,2.15703,,4.50117,0.07898,0.37856,0.38861,3324.00000,-1.77964,8.84800,2.66292,355.54898,1.05392,Candidate
HD 136352 b,360,11.57797,1.66400,208.00000,3.93500,4.72000,,0.09640,0.87000,1.06000,5664.00000,0.01600,4.15900,111.60000,904.73494,9.02169,Confirmed
TOI-279.01,365,11.47078,1.85330,1575.00000,3.69800,,4.09224,0.08796,0.69000,0.72503,4413.00000,-0.74565,8.83100,23.21544,610.94780,3.85118,Candidate
TOI-776 b,369,8.24661,1.85000,1063.00000,2.41000,4.00000,,0.06520,0.54000,0.54000,3709.00000,-1.31000,7.61500,11.50000,512.78591,3.19529,Confirmed
TOI-561 b,370,0.44657,1.42500,247.12000,1.31000,2.00000,,0.01060,0.81000,0.84000,5372.00000,-0.27300,8.39400,4745.00000,2310.23918,8.45558,Confirmed
HD 108236 b,372,3.79596,1.61500,285.00000,2.38400,,3.23951,0.04527,0.87000,0.88000,5660.00000,-0.15000,7.63700,312.18000,1199.92646,4.46821,Confirmed
TOI-451 b,373,1.85870,1.91000,396.00000,2.03760,,4.30707,0.02830,0.95000,0.88000,5550.00000,-0.18900,9.19000,695.19000,1483.94109,4.54964,Confirmed
TOI-871.01,379,14.36274,1.68663,541.97705,3.20438,,3.48722,0.10779,0.81000,0.73219,4917.00000,-0.54926,8.38000,24.29717,617.94357,1.47944,Candidate
TOI-178 b,380,1.91456,1.15200,263.00000,1.69200,1.50000,,0.02607,0.65000,0.65000,4316.00000,-0.87900,8.65600,194.40970,1039.29626,2.69254,Confirmed
TOI-178 c,381,3.23845,1.66900,551.00000,1.95000,4.77000,,0.03700,0.65000,0.65000,4316.00000,-0.87900,8.65600,97.62000,872.38666,3.84920,Confirmed
TOI-2495.01,383,7.79538,1.89393,2783.91292,1.69416,,4.24572,0.05357,0.33757,0.35291,3356.00000,-1.84669,9.82700,4.95910,415.34661,1.52014,Candidate
TOI-2520.01,384,2.09441,1.40280,320.00000,4.13300,,2.55042,0.03105,0.91000,0.77244,5298.00000,-0.37312,8.66100,439.42668,1274.32875,3.78804,Candidate
TOI-2522.01,385,2.09885,1.65997,350.00000,4.36500,,3.39415,0.03176,0.97000,0.96676,5531.00000,-0.10346,8.11400,781.33817,1471.53176,6.53279,Candidate
K2-111 b,386,5.35180,1.82000,118.40000,3.38000,5.58000,,0.05650,0.84000,1.25000,5775.00000,0.27900,9.37700,490.00000,1374.94604,1.04353,Confirmed
GJ 486 b,389,1.46712,1.30500,1550.63000,1.00693,2.82000,,0.01734,0.32000,0.33000,3340.00000,-1.91700,6.36200,40.30000,701.10866,24.99359,Confirmed
TOI-932.02,393,7.98565,1.71677,460.00000,2.72900,,3.59366,0.06942,0.70000,0.73407,4444.00000,-0.72273,9.04800,39.28662,696.82070,1.47243,Candidate
TOI-512.02,394,20.27494,1.74928,410.00000,5.78800,,3.70998,0.14153,0.92000,0.88267,5336.00000,-0.24484,7.79700,28.41026,642.58220,1.48958,Candidate
TOI-2590.01,396,0.74606,1.78500,240.00000,1.75400,,3.83952,0.01698,1.17300,1.13493,6162.00000,0.22352,8.67500,5804.20811,2429.38095,6.59207,Candidate
LHS 1478 b,397,1.94954,1.24200,1420.00000,0.70500,2.33000,,0.01848,0.24000,0.25000,3381.00000,-2.14600,8.76700,23.88000,595.26301,4.63143,Confirmed
TOI-1444 b,402,0.47027,1.39700,214.19000,1.41086,3.87000,,0.01155,0.93000,0.91000,5430.00000,-0.16200,9.06100,5028.51000,2358.99609,5.48239,Confirmed
TOI-2731.01,404,0.99539,1.34940,280.00000,2.23800,,2.38779,0.01960,1.01400,0.83763,5697.00000,-0.17661,8.85700,1733.09669,1795.83147,4.96121,Candidate
TOI-2808.01,405,9.44538,1.78848,863.00000,2.65900,,3.85223,0.08084,0.79000,0.66484,4853.00000,-0.65583,8.42500,33.79941,671.09987,2.97868,Candidate
TOI-214.01,407,18.55390,1.53182,439.00000,3.48300,,2.96137,0.13340,0.92000,0.79827,5346.17000,-0.32884,6.86200,26.35381,630.62436,2.31668,Candidate
TOI-799.01,408,5.54520,1.98280,439.49674,2.28458,,4.58948,0.06131,1.00000,0.91552,5624.00000,-0.12179,9.54100,200.95939,1047.94129,2.21151,Candidate
TOI-1207.01,409,2.62823,0.97508,117.00000,1.58500,,0.88781,0.03848,1.10000,1.10743,5992.00000,0.15361,8.26300,962.17509,1550.14886,2.02603,Candidate
TOI-727.01,410,4.72444,1.96457,1480.00000,0.99900,,4.51808,0.04360,0.49529,0.49720,3653.00000,-1.40164,8.82700,20.86626,594.86857,4.23826,Candidate
TOI-213.02,411,7.75653,1.22067,316.23930,2.42291,,1.98604,0.06873,0.72000,0.67206,4566.40000,-0.75219,8.11900,37.45280,688.54283,1.45341,Candidate
TOI-663.03,414,7.10275,1.94990,1430.81709,2.14994,,4.46095,0.05778,0.51014,0.51236,3664.00000,-1.37033,9.60700,12.76718,526.11853,1.90872,Candidate
TOI-696.03,415,4.96521,0.85669,633.05808,0.93615,,0.55825,0.03898,0.32056,0.33819,3563.00000,-1.77972,8.26400,10.92817,506.05385,1.41826,Candidate
TOI-797.03,416,2.73096,1.04283,389.64897,1.35298,,1.12949,0.02976,0.47147,0.47370,3607.00000,-1.46571,9.55700,38.63837,693.92826,1.26864,Candidate
TOI-2467.01,419,1.75566,1.77385,444.08795,1.34910,,3.79887,0.02644,0.80000,0.80874,4909.00000,-0.46571,8.90700,489.50645,1309.18036,5.40294,Candidate
TOI-1685 b,420,0.66914,1.70000,807.59000,0.93697,3.78000,,0.01156,0.50000,0.49000,3434.00000,-1.51900,8.75800,217.00000,1079.90940,11.40469,Confirmed
TOI-1634 b,421,0.98934,1.79000,1323.00000,1.02700,4.91000,,0.01545,0.50000,0.45000,3550.00000,-1.53900,8.60000,121.00000,923.30595,13.81162,Confirmed
TOI-198.01,422,10.21502,1.47778,994.10890,1.96831,,2.78616,0.07027,0.44370,0.44734,3782.00000,-1.43315,7.85600,7.46891,460.12322,1.74800,Candidate
TOI-406.02,424,6.61491,1.27316,1060.57158,0.96546,,2.16328,0.04989,0.37856,0.38861,3324.00000,-1.77964,8.84800,6.67358,447.35229,1.24977,Candidate
TOI-4318.01,427,1.13438,1.75324,313.84589,1.44450,,3.72426,0.02136,1.01100,0.84684,5683.00000,-0.17139,9.17300,1476.44562,1725.29849,4.52670,Candidate
TOI-1807 b,428,0.54937,1.25800,312.00000,0.97200,2.57000,,0.00812,0.75000,0.68000,4757.00000,-0.67100,7.56800,1407.22000,2099.09389,15.73191,Confirmed
TOI-1749 b,430,2.38839,1.39000,559.47000,1.13747,,2.51105,0.02910,0.58000,0.55000,3985.00000,-1.15600,10.27000,83.84000,838.71302,1.87244,Confirmed
TOI-4311.02,432,0.99029,1.41565,278.90970,1.35674,,2.59024,0.01858,0.87200,0.85073,5159.00000,-0.33546,9.48800,1338.54432,1683.51918,3.75335,Candidate
TOI-4324.01,433,6.25100,1.31199,799.76014,1.19324,,2.27649,0.04837,0.38627,0.39540,3479.00000,-1.68542,7.49500,8.82070,479.66242,2.16622,Candidate
TOI-4350.01,436,4.87591,1.50123,161.58714,3.05530,,2.86164,0.05774,1.08000,1.14875,5937.00000,0.16941,8.06400,443.10583,1276.98779,2.20969,Candidate
TOI-4352.01,437,11.89186,1.69230,362.68995,4.78248,,3.50715,0.10023,0.95000,0.83455,5461.00000,-0.25331,8.23500,55.54708,759.84531,1.65388,Candidate
TOI-4360.01,439,3.07493,1.29488,1656.59205,1.30327,,2.22634,0.02727,0.28605,0.30825,3246.00000,-2.02211,10.20000,12.78203,526.27148,1.97155,Candidate
TOI-4363.01,440,2.11866,1.83255,664.81206,1.55855,,4.01478,0.02753,0.62000,0.69132,4002.00000,-0.95684,9.23200,145.74899,967.07748,4.92779,Candidate
TOI-4367.01,441,2.51105,1.59250,410.00000,2.97300,,3.16326,0.03529,0.93000,0.91302,5354.00000,-0.20964,8.31100,495.47673,1313.15410,5.94768,Candidate
TOI-119.02,443,10.69175,1.74279,531.00000,2.99600,,3.68664,0.09032,0.86000,0.81966,5130.00000,-0.37757,8.03200,51.38280,745.18536,2.72448,Candidate
TOI-431 b,444,0.49005,1.28000,291.04000,1.01233,3.07000,,0.01130,0.78000,0.73000,4850.00000,-0.56500,6.72300,2120.45000,1891.34457,18.09024,Confirmed
TOI-461.01,447,10.92455,1.90150,653.53714,1.87165,,4.27459,0.08945,0.80000,0.74413,4884.00000,-0.54690,7.45900,35.47735,679.27819,3.61273,Candidate
TOI-784.01,448,2.79702,1.79834,393.46286,2.42231,,3.88834,0.03833,0.96000,0.89631,5464.00000,-0.19034,7.64000,439.20664,1274.16920,7.18355,Candidate
TOI-912.01,449,4.67807,1.79626,1400.00000,1.49100,,3.88072,0.04103,0.42101,0.42646,3482.00000,-1.61822,8.20400,14.30921,541.33213,4.19320,Candidate
K2-344 b,450,3.35585,1.59000,1060.00000,1.76000,,3.15483,0.03505,0.51000,0.49000,4374.00000,-1.22500,9.66200,34.60000,734.47566,3.00155,Confirmed
K2-352 c,451,8.23489,1.92000,401.00000,3.59000,,4.34543,0.07927,0.98000,0.95000,5791.00000,-0.06300,9.69100,137.64471,953.34427,1.48945,Confirmed
K2-343 b,452,2.78717,1.65000,1470.00000,1.46000,,3.35961,0.03056,0.49000,0.46000,3804.00000,-1.43900,11.85500,38.97363,695.42865,1.56083,Confirmed
K2-352 b,453,3.66591,1.37000,174.79643,1.63000,,2.45002,0.04622,0.98000,0.95000,5791.00000,-0.06300,9.69100,404.94266,1248.55668,1.11609,Confirmed
TOI-4401.01,455,0.45026,1.70328,331.39746,1.18716,,3.54586,0.01122,0.92900,0.89872,5366.00000,-0.21946,9.94800,4793.99396,2315.97704,5.57052,Candidate
TOI-4402.01,456,3.69899,1.66382,202.58873,3.17144,,3.40751,0.04742,1.04000,1.15018,5811.00000,0.13323,8.92800,604.24717,1379.95058,2.19371,Candidate
TOI-4424.01,457,17.74247,1.98845,880.00000,3.08200,,4.61172,0.12410,0.81000,0.68540,4926.19000,-0.60337,8.46200,16.18363,558.25017,1.67905,Candidate
TOI-4443.01,459,1.84986,1.71933,195.41025,2.51828,,3.60276,0.02998,1.05000,1.01733,5834.00000,0.03349,7.01000,1202.15971,1638.89232,6.81349,Candidate
K2-104 b,460,1.97420,1.79000,1749.00000,1.58400,,3.85778,0.02420,0.51000,0.48000,3712.00000,-1.43400,12.01400,62.10000,783.70424,2.43240,Confirmed
TOI-4481.01,461,0.92632,1.67786,970.00000,0.88400,,3.45647,0.01392,0.41958,0.42517,3573.00000,-1.57605,6.53300,136.93410,952.11143,27.83699,Candidate
TOI-4527.01,466,0.39944,0.90866,330.81737,0.80288,,0.68945,0.00833,0.48400,0.48595,3702.00000,-1.39838,7.02000,575.31175,1363.12502,14.65105,Candidate
TOI-4529.01,467,5.87896,1.81493,1280.00000,2.05800,,3.94945,0.05029,0.49085,0.49276,3611.00000,-1.42953,7.95400,14.70815,545.06639,4.19913,Candidate
TOI-4552.01,469,0.30115,1.28011,1457.69740,0.64048,,2.18339,0.00562,0.26093,0.28618,3264.00000,-2.07703,9.39500,265.27480,1123.26927,17.74981,Candidate
TOI-4556.01,470,3.79242,1.56026,3704.22836,1.23084,,3.05531,0.02725,0.18768,0.21855,3319.00000,-2.28216,10.72900,7.03282,453.25464,1.93715,Candidate
TOI-4559.01,471,3.96498,1.53728,1220.19336,1.50928,,2.97930,0.03675,0.42134,0.42677,3476.00000,-1.62060,8.61900,17.73264,571.15397,3.60738,Candidate
TOI-4561.01,472,8.93556,1.78422,410.21264,1.89255,,3.83665,0.08427,1.00000,0.85196,5631.00000,-0.18213,9.92600,92.57555,863.34416,1.13035,Candidate
TOI-4566.01,473,2.08446,1.65748,560.32075,1.59532,,3.38550,0.02836,0.70000,0.71330,4443.39000,-0.74790,9.84600,222.24573,1074.65295,3.42543,Candidate
TOI-4567.01,474,0.84093,1.41328,526.80118,1.01532,,2.58288,0.01466,0.59497,0.60850,3830.00000,-1.14399,9.81900,333.77239,1189.65896,4.79376,Candidate
TOI-4580.01,476,0.91680,0.61159,39.03836,1.35782,,0.16681,0.01835,0.98000,0.97303,5578.00000,-0.08314,7.57100,2453.56006,1958.88550,1.46527,Candidate
EPIC 201595106 b,478,0.87721,1.30000,250.00000,1.00080,,2.24129,0.01805,1.02000,0.93000,5820.00000,-0.02600,10.21800,2890.09940,2040.74186,2.80472,Confirmed
EPIC 228836835 b,479,0.72811,1.10000,680.00000,0.79920,,1.36760,0.01186,0.42000,0.32000,3782.00000,-1.61200,12.02000,173.65571,1010.37396,1.64614,Confirmed
EPIC 206024342 c,480,0.91172,1.40000,179.00000,1.41600,,2.54180,0.01796,0.93000,1.10000,5724.00000,-0.17000,11.48700,2095.62619,1883.16482,1.01109,Confirmed
EPIC 206042996 c,481,0.35488,1.20000,553.00000,1.07000,,1.86811,0.00813,0.57000,0.50000,4114.00000,-0.98000,13.07100,1582.78467,1755.55863,2.01504,Confirmed
LHS 1678 b,482,0.86023,0.69600,719.54000,0.77400,,0.26514,0.01251,0.35000,0.33000,3490.00000,-1.83900,8.26400,93.20000,863.33873,7.69398,Confirmed
LHS 1678 c,483,3.69425,0.98200,832.82000,1.26000,,0.91059,0.03310,0.35000,0.33000,3490.00000,-1.83900,8.26400,13.50000,530.75718,2.26295,Confirmed
TOI-740.01,484,2.13123,1.82633,370.00000,3.05100,,3.99166,0.03346,1.10000,0.97490,5975.00000,0.03797,8.61400,974.95690,1555.27157,5.49907,Candidate
TOI-4610.01,485,3.11301,1.54526,500.00000,2.19800,,3.00559,0.03596,0.64000,0.68561,4104.00000,-0.92032,8.15200,92.92055,864.14739,4.58845,Candidate
TOI-910.01,487,2.02909,0.92915,978.06270,0.69398,,0.74680,0.02008,0.26242,0.28750,3312.00000,-2.04768,7.68600,22.21845,604.28013,5.64732,Candidate
